Currency,Buy,Sell,Day,Month,Year
AUSTRALIAN $,74.00886439,74.1943895,3,1,2017
AUSTRALIAN $,74.00886439,74.1943895,3,1,2017
AUSTRALIAN $,74.047644,74.290729,4,1,2017
AUSTRALIAN $,75.15790333,75.32403667,5,1,2017
AUSTRALIAN $,75.60329822,75.75974917,6,1,2017
AUSTRALIAN $,75.75088889,75.922005,9,1,2017
AUSTRALIAN $,76.15098944,76.38097389,10,1,2017
AUSTRALIAN $,76.42280233,76.59092967,11,1,2017
AUSTRALIAN $,76.37517183,76.5432175,12,1,2017
AUSTRALIAN $,77.62577778,77.81696889,13,1,2017
AUSTRALIAN $,77.61623922,77.8094385,16,1,2017
AUSTRALIAN $,77.55104194,77.710825,17,1,2017
AUSTRALIAN $,78.31127778,78.48289,18,1,2017
AUSTRALIAN $,78.12593706,78.286802,19,1,2017
AUSTRALIAN $,78.52613333,78.69832,20,1,2017
AUSTRALIAN $,78.44078111,78.62323194,23,1,2017
AUSTRALIAN $,78.68798689,78.849932,24,1,2017
AUSTRALIAN $,78.32476517,78.52759156,25,1,2017
AUSTRALIAN $,78.65440278,78.84744389,26,1,2017
AUSTRALIAN $,78.14719,78.38092111,27,1,2017
AUSTRALIAN $,78.51281333,78.68480667,30,1,2017
AUSTRALIAN $,78.5148,78.68681111,31,1,2017
AUSTRALIAN $,80.59486111,80.76140056,2,1,2018
AUSTRALIAN $,80.77421344,80.95136389,3,1,2018
AUSTRALIAN $,81.007355,81.17448889,4,1,2018
AUSTRALIAN $,80.76625978,80.943495,5,1,2018
AUSTRALIAN $,80.98103611,81.18971639,8,1,2018
AUSTRALIAN $,80.7906025,80.99896,9,1,2018
AUSTRALIAN $,80.64805333,80.82518889,10,1,2018
AUSTRALIAN $,80.73445167,80.91180033,11,1,2018
AUSTRALIAN $,81.169046,81.34730467,12,1,2018
AUSTRALIAN $,80.96269,81.17153333,15,1,2018
AUSTRALIAN $,81.84378722,82.01898222,16,1,2018
AUSTRALIAN $,81.85479556,82.03446278,17,1,2018
AUSTRALIAN $,81.97369583,82.1537935,18,1,2018
AUSTRALIAN $,82.2158,82.3964,19,1,2018
AUSTRALIAN $,82.27721722,82.44541,22,1,2018
AUSTRALIAN $,82.261458,82.472074,23,1,2018
AUSTRALIAN $,81.79027,81.98072667,24,1,2018
AUSTRALIAN $,82.52767956,82.74033928,25,1,2018
AUSTRALIAN $,82.75418667,82.93652,26,1,2018
AUSTRALIAN $,82.72294667,82.90523733,29,1,2018
AUSTRALIAN $,82.69631417,82.88303972,30,1,2018
AUSTRALIAN $,82.82835,83.04157861,31,1,2018
AUSTRALIAN $,71.84329533,71.99472856,2,1,2019
AUSTRALIAN $,71.27194822,71.45889489,3,1,2019
AUSTRALIAN $,71.20997528,71.355865,4,1,2019
AUSTRALIAN $,71.7468,71.93466944,7,1,2019
AUSTRALIAN $,72.59214472,72.78578944,8,1,2019
AUSTRALIAN $,72.63438517,72.79741661,9,1,2019
AUSTRALIAN $,72.91922544,73.11352406,10,1,2019
AUSTRALIAN $,73.04888378,73.23334556,11,1,2019
AUSTRALIAN $,73.35479083,73.51949917,14,1,2019
AUSTRALIAN $,73.06872222,73.22274194,15,1,2019
AUSTRALIAN $,73.13151583,73.29581861,16,1,2019
AUSTRALIAN $,72.87070756,73.03052289,17,1,2019
AUSTRALIAN $,73.10285861,73.25690167,18,1,2019
AUSTRALIAN $,73.066952,73.26167644,21,1,2019
AUSTRALIAN $,72.54324117,72.71669167,22,1,2019
AUSTRALIAN $,72.37029222,72.53323244,23,1,2019
AUSTRALIAN $,72.2106,72.36331056,24,1,2019
AUSTRALIAN $,71.66787167,71.850285,25,1,2019
AUSTRALIAN $,71.77896,71.97197,28,1,2019
AUSTRALIAN $,72.15021972,72.30372111,29,1,2019
AUSTRALIAN $,72.10823206,72.2676185,30,1,2019
AUSTRALIAN $,72.41961083,72.60981278,31,1,2019
AUSTRALIAN $,70.97130176,71.13179035,2,1,2020
AUSTRALIAN $,70.53057529,70.69064706,3,1,2020
AUSTRALIAN $,70.11200882,70.26111688,6,1,2020
AUSTRALIAN $,69.94631059,70.09498676,7,1,2020
AUSTRALIAN $,69.50622765,69.69432706,8,1,2020
